I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Январь 2016г.	В % к	Справочно		
		январю 2015г.	декабрю 2015г.	январь 2015г. в % к	
				январю 2014г.	декабрю 2014г.
Валовой внутренний продукт, млрд.рублей	80412,51)	96,32)		100,73)	
Индекс промышленного производства4),5)		97,3	80,3	100,9	78,8
Продукция сельского хозяйства, млрд.рублей	159,0	102,5	58,5	102,8	59,1
Грузооборот транспорта, млрд.т-км	428,3	100,9	93,3	96,1	95,8
в том числе железнодорожного транспорта	182,9	97,0	90,3	98,5	94,7
Оборот розничной торговли, млрд.рублей	2125,1	92,7	73,6	96,4	67,3
Объем платных услуг населению, млрд.рублей	641,1	97,3	87,9	100,66)	88,16)
Внешнеторговый оборот, млрд.долларов США	45,97)	72,98)	109,39)	76,78)	105,09)
в том числе: экспорт товаров	28,4	74,0	111,3	77,5	104,4
импорт товаров	17,4	71,2	106,2	75,4	106,0
Инвестиции в основной капитал, млрд.рублей	14555,910)	91,62)		98,53)	
Индекс потребительских цен		109,8	101,0	115,0	103,9
Индекс цен производителей промышленных товаров4)		107,5	98,8	107,0	101,3
Реальные располагаемые денежные доходы11)		93,7	47,8	98,66)	50,86)
Среднемесячная начисленная заработная плата работников организаций12):					
номинальная, рублей	32122	103,1	74,0	105,36)	74,06)
реальная		93,9	73,3	91,66)	71,36)
Общая численность безработных, млн.человек	4,411)	106,2	100,1	97,96)	103,06)
Численность официально зарегистрированных безработных, млн.человек	1,0	110,1	101,6	97,36)	102,66)
"1) Данные за 2015г. (первая оценка). 2) 2015г. в % к 2014 году. 3) 2014г. в % к 2013 году. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Производство и распределение электроэнергии, газа и воды"". 5) С учетом поправки на неформальную деятельность. 6) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 7) Данные за декабрь 2015 года. 8) Декабрь 2015г. и декабрь 2014г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Декабрь 2015г. и декабрь 2014г. в % к предыдущему месяцу, в фактически действовавших ценах. 10) Данные за январь-декабрь 2015 года. 11) Предварительные данные. 12) За периоды 2016г. - оценка."					
