I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Октябрь 2016г.	В % к	Январь- октябрь 2016г. в % к январю- октябрю 2015г.	Справочно			
		октябрю 2015г.	сентябрю 2016г.		октябрь 2015г. в % к	январь- октябрь 2015г. в % к январю- октябрю 2014г.	
					октябрю 2014г.	сентябрю 2015г.	
Валовой внутренний продукт		99,31),2)			96,33)		
Индекс промышленного производства		99,8	105,8	100,3	96,4	105,2	96,7
Продукция сельского хозяйства, млрд.рублей	781,1	102,4	72,8	102,9	107,0	72,3	102,7
Грузооборот транспорта, млрд.т-км	457,4	99,4	104,0	101,6	104,5	108,9	99,5
в том числе железнодорожного транспорта	202,6	101,8	103,8	101,6	101,5	103,4	100,0
Оборот розничной торговли, млрд.рублей	2442,3	95,6	100,7	94,7	88,7	101,6	90,8
Объем платных услуг населению, млрд.рублей	703,7	97,9	99,2	99,3	97,64)	100,8	98,24)
Внешнеторговый оборот, млрд.долларов США	43,75)	101,26)	104,97)	83,58)	67,46)	104,37)	65,58)
в том числе: экспорт товаров	25,5	97,0	109,6	76,6	69,2	104,9	68,4
импорт товаров	18,2	107,9	98,8	96,0	64,6	103,5	60,9
Инвестиции в основной капитал, млрд.рублей	9116,19)	97,72)			90,43)		
Индекс потребительских цен		106,1	100,4	107,4	115,6	100,7	115,9
Индекс цен производителей промышленных товаров		103,1	100,3	103,6	114,2	101,8	112,5
Реальные располагаемые денежные доходы10)		94,1	101,0	94,7	93,24)	105,7	95,54)
Среднемесячная начисленная заработная плата работников организаций11):							
номинальная, рублей	36200	108,2	101,0	107,9	103,44)	101,3	105,24)
реальная		102,0	100,6	100,5	89,54)	100,6	90,84)
Общая численность безработных, млн.человек	4,110)	96,4	102,1	100,9	108,04)	105,5	106,94)
Численность официально зарегистрированных безработных, млн.человек	0,8	91,5	96,7	100,6	113,74)	99,2	108,44)
1) Предварительная оценка. 2) Январь-сентябрь 2016г. в % к январю-сентябрю 2015 года. 3) Январь-сентябрь 2015г. в % к январю-сентябрю 2014 года. 4) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 5) Данные за сентябрь 2016 года. 6) Сентябрь 2016г. и сентябрь 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Сентябрь 2016г. и сентябрь 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-сентябрь 2016г. и январь-сентябрь 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за январь-сентябрь 2016 года. 10) Предварительные данные. 11) Данные за периоды 2016г. - оценка.							
