I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Ноябрь 2016г.	В % к	Январь- ноябрь 2016г. в % к январю- ноябрю 2015г.	Справочно			
		ноябрю 2015г.	октябрю 2016г.		ноябрь 2015г. в % к	январь- ноябрь 2015г. в % к январю- ноябрю 2014г.	
					ноябрю 2014г.	октябрю 2015г.	
Валовой внутренний продукт, млрд.рублей	60730,31)	99,32)			96,33)		
Индекс промышленного производства		102,7	102,7	100,8	96,5	99,8	96,7
Продукция сельского хозяйства, млрд.рублей	509,0	105,6	65,8	104,1	101,7	64,7	102,6
Грузооборот транспорта, млрд.т-км	456,7	102,9	99,8	101,7	103,4	96,5	99,9
в том числе железнодорожного транспорта	199,2	100,9	98,1	101,5	100,5	99,2	100,1
Оборот розничной торговли, млрд.рублей	2439,3	95,9	99,1	94,9	87,8	99,0	90,5
Объем платных услуг населению, млрд.рублей	717,9	100,1	100,7	99,5	97,54)	99,8	98,14)
Внешнеторговый оборот, млрд.долларов США	43,25)	98,56)	98,87)	84,98)	64,26)	101,67)	65,48)
в том числе: экспорт товаров	24,9	92,4	97,5	78,1	65,0	102,3	68,1
импорт товаров	18,3	108,2	100,8	97,3	63,1	100,5	61,1
Инвестиции в основной капитал, млрд.рублей	9116,19)	97,72)			90,43)		
Индекс потребительских цен		105,8	100,4	107,2	115,0	100,8	115,8
Индекс цен производителей промышленных товаров		104,3	100,7	103,7	113,9	99,3	112,6
Реальные располагаемые денежные доходы10)		94,4	99,1	94,2	93,94)	98,7	95,94)
Среднемесячная начисленная заработная плата работников организаций10):							
номинальная, рублей	36105	107,6	101,0	107,7	103,04)	100,0	105,04)
реальная		101,7	100,6	100,5	89,64)	99,3	90,74)
Общая численность безработных, млн.человек	4,111)	92,8	100,3	100,2	110,74)	104,2	107,24)
Численность официально зарегистрированных безработных, млн.человек	0,8	90,1	101,7	99,7	113,74)	103,3	108,94)
1) Данные за январь-сентябрь 2016г. (первая оценка). 2) Январь-сентябрь 2016г. в % к январю-сентябрю 2015 года. 3) Январь-сентябрь 2015г. в % к январю-сентябрю 2014 года. 4) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 5) Данные за октябрь 2016 года. 6) Октябрь 2016г. и октябрь 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Октябрь 2016г. и октябрь 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-октябрь 2016г. и январь-октябрь 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за январь-сентябрь 2016 года. 10) Данные за периоды 2016г. - оценка. 11) Предварительные данные.							
