I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Март 2016г.	В % к	I квар- тал 2016г. в % к I квар- талу 2015г.	Справочно			
		марту 2015г.	февралю 2016г.		март 2015г. в % к	I квар- тал 2015г. в % к I квар- талу 2014г.	
					марту 2014г.	февралю 2015г.	
Валовой внутренний продукт, млрд.рублей	80804,31)	96,32)			100,73)		
Индекс промышленного производства4)		99,5	109,1	99,4	99,4	110,7	99,6
Продукция сельского хозяйства, млрд.рублей	262,2	102,7	142,0	102,8	104,2	142,6	103,5
Грузооборот транспорта, млрд.т-км	432,2	99,7	106,5	101,4	100,6	111,0	98,4
в том числе железнодорожного транспорта	197,8	98,8	106,8	100,5	100,8	114,6	100,3
Оборот розничной торговли, млрд.рублей	2230,1	94,2	105,1	94,6	91,1	106,8	93,0
Объем платных услуг населению, млрд.рублей	682,0	98,7	102,1	98,6	99,55)	103,8	99,75)
Внешнеторговый оборот, млрд.долларов США	33,06)	73,67)	123,08)	70,59)	74,07)	111,98)	70,19)
в том числе: экспорт товаров	20,2	68,6	118,2	65,0	80,7	105,4	75,4
импорт товаров	12,8	83,1	131,3	81,9	64,0	126,8	61,1
Инвестиции в основной капитал, млрд.рублей	14555,910)	91,62)			98,53)		
Индекс потребительских цен		107,3	100,5	108,4	116,9	101,2	116,2
Индекс цен производителей промышленных товаров4)		100,8	103,1	103,8	113,0	105,5	109,8
Реальные располагаемые денежные доходы11)		98,2	99,4	96,1	97,65)	96,7	97,75)
Среднемесячная начисленная заработная плата работников организаций12):							
номинальная, рублей	35570	109,0	105,0	107,8	104,55)	104,7	105,75)
реальная		101,6	104,5	99,5	89,45)	103,4	91,05)
Общая численность безработных, млн.человек	4,611)	101,4	103,1	102,6	108,75)	102,1	102,65)
Численность официально зарегистрированных безработных, млн.человек	1,1	106,0	99,3	108,0	104,75)	101,1	101,45)
"1) Данные за 2015г. (вторая оценка). 2) 2015г. в % к 2014 году. 3) 2014г. в % к 2013 году. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Производство и распределение электроэнергии, газа и воды"". 5) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 6) Данные за февраль 2016 года. 7) Февраль 2016г. и февраль 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 8) Февраль 2016г. и февраль 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 9) Январь-февраль 2016г. и январь-февраль 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 10) Данные за январь-декабрь 2015 года. 11) Предварительные данные. 12) Данные за периоды 2016г. – уточненная оценка."							
