I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Август 2016г.	В % к	Январь- август 2016г. в % к январю- августу 2015г.	Справочно			
		августу 2015г.	июлю 2016г.		август 2015г. в % к	январь- август 2015г. в % к январю- августу 2014г.	
					августу 2014г.	июлю 2015г.	
Валовой внутренний продукт, млрд.рублей	38540,71)	99,12)			96,33)		
Индекс промышленного производства		100,7	101,2	100,4	95,7	100,2	96,8
Продукция сельского хозяйства, млрд.рублей	686,3	106,0	141,9	103,4	102,5	140,5	101,7
Грузооборот транспорта, млрд.т-км	425,2	102,8	99,8	101,5	100,6	98,6	98,7
в том числе железнодорожного транспорта	198,1	102,2	100,1	101,5	101,0	98,6	99,9
Оборот розничной торговли, млрд.рублей	2435,9	94,9	103,2	94,3	90,6	103,1	91,3
Объем платных услуг населению, млрд.рублей	718,4	101,0	102,0	99,4	97,14)	99,9	98,44)
Внешнеторговый оборот, млрд.долларов США	38,65)	87,66)	96,17)	78,88)	58,46)	95,17)	65,88)
в том числе: экспорт товаров	22,5	82,5	93,4	72,2	59,1	90,8	69,4
импорт товаров	16,0	95,9	100,2	91,4	57,4	103,1	59,8
Инвестиции в основной капитал, млрд.рублей	5302,79)	95,72)			92,73)		
Индекс потребительских цен		106,9	100,0	107,6	115,8	100,4	115,9
Индекс цен производителей промышленных товаров		103,1	98,6	103,5	113,7	100,1	112,2
Реальные располагаемые денежные доходы10)		91,7	101,1	94,2	94,74)	102,2	96,04)
Среднемесячная начисленная заработная плата работников организаций11):							
номинальная, рублей	34095	105,8	95,0	107,3	105,34)	95,0	105,64)
реальная		99,0	95,0	99,7	91,04)	94,7	91,14)
Общая численность безработных, млн.человек	4,010)	99,3	97,9	101,7	108,94)	100,0	106,84)
Численность официально зарегистрированных безработных, млн.человек	0,9	95,0	96,2	102,5	113,54)	98,1	107,14)
1) Данные за I полугодие 2016г. (первая оценка). 2) I полугодие 2016г. в % к I полугодию 2015 года. 3) I полугодие 2015г. в % к I полугодию 2014 года. 4) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 5) Данные за июль 2016 года. 6) Июль 2016г. и июль 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Июль 2016г. и июль 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-июль 2016г. и январь-июль 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I полугодие 2016 года. 10) Предварительные данные. 11) Данные за периоды 2016г. - оценка.							
