I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Февраль 2017г.	В % к	Январь- февраль 2017г. в % к январю- февралю 2016г.	Справочно			
		февралю 2016г.	январю 2017г.		февраль 2016г. в % к	январь- февраль 2016г. в % к январю- февралю 2015г.	
					февралю 2015г.	январю 2016г.	
Валовой внутренний продукт, млрд.рублей	85880,61)	99,82)			97,23)		
Индекс промышленного производства4)		97,3	99,4	99,7	103,8	104,4	101,5
Продукция сельского хозяйства, млрд.рублей	191,8	100,2	110,0	100,4	103,8	110,4	103,6
Грузооборот транспорта, млрд.т-км	421,1	103,8	90,8	106,1	103,9	94,7	102,4
в том числе железнодорожного транспорта	189,2	102,2	92,9	106,7	106,0	101,2	101,4
Оборот розничной торговли, млрд.рублей	2158,1	97,4	97,7	97,5	95,3	98,0	94,5
Объем платных услуг населению, млрд.рублей	683,3	97,0	98,3	99,8	100,4	104,1	98,6
Внешнеторговый оборот, млрд.долларов США	38,85)	144,26)	76,97)		67,26)	58,37)	
в том числе: экспорт товаров	25,1	147,2	80,7		61,2	59,4	
импорт товаров	13,7	138,9	70,9		81,0	56,5	
Инвестиции в основной капитал, млрд.рублей	14639,88)	99,12)			89,93)		
Индекс потребительских цен		104,6	100,2	104,8	108,1	100,6	108,9
Индекс цен производителей промышленных товаров4)		115,1	100,8	114,0	…	98,8	…
Реальные располагаемые денежные доходы9)		95,9	118,8	101,0	95,3	133,9	94,6
Среднемесячная начисленная заработная плата работников организаций:							
номинальная, рублей	359009)	106,09)	101,59)	107,29)	108,7	103,8	107,2
реальная		101,39)	101,39)	102,39)	100,6	103,2	98,4
Общая численность безработных (в возрасте 15-72 лет), млн.человек	4,210)	95,4	98,6	96,1	100,4	100,0	103,3
Численность официально зарегистрированных безработных, млн.человек	0,9	86,7	103,4	87,4	108,0	105,2	109,0
"1) Данные за 2016г. (первая оценка). 2) 2016г. в % к 2015 году. 3) 2015г. в % к 2014 году. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"". 5) Данные за январь 2017 года. 6) Январь 2017г. и январь 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Январь 2017г. и январь 2016г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Данные за январь-декабрь 2016 года. 9) Оценка. 10) Предварительные данные."							
