I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Май 2017г.	В % к	Январь- май 2017г. в % к январю- маю 2016г.	Справочно			
		маю 2016г.	апрелю 2017г.		май 2016г. в % к	январь- май 2016г. в % к январю- маю 2015г.	
					маю 2015г.	апрелю 2016г.	
Валовой внутренний продукт, млрд.рублей	20090,91)	100,52)			99,63)		
Индекс промышленного производства4)		105,6	101,2	101,7	101,5	98,1	101,1
Продукция сельского хозяйства, млрд.рублей	341,4	100,3	112,1	100,6	103,4	112,7	103,5
Грузооборот транспорта, млрд.т-км	456,7	109,5	101,2	107,0	100,7	101,2	101,2
в том числе железнодорожного транспорта	209,5	107,0	102,0	107,4	103,1	103,0	101,4
Оборот розничной торговли, млрд.рублей	2380,0	100,7	101,8	99,2	94,7	101,1	95,1
Объем платных услуг населению, млрд.рублей	705,6	100,0	98,4	100,0	100,7	97,8	99,3
Внешнеторговый оборот, млрд.долларов США	44,25)	119,96)	88,37)	128,88)	78,76)	95,67)	74,58)
в том числе: экспорт товаров	26,1	120,0	83,3	131,8	70,8	93,8	68,0
импорт товаров	18,1	119,6	96,6	124,1	93,6	98,4	87,5
Инвестиции в основной капитал, млрд.рублей	2202,29)	102,32)			98,83)		
Индекс потребительских цен		104,1	100,4	104,4	107,3	100,4	107,9
Индекс цен производителей промышленных товаров4)		105,9	99,5	110,4	103,7	101,1	104,0
Реальные располагаемые денежные доходы10)		99,6	95,2	98,2	94,4	88,4	95,2
Среднемесячная начисленная заработная плата работников организаций:							
номинальная, рублей	4064010)	107,910)	102,010)	107,410)	108,4	102,1	107,5
реальная		103,710)	101,610)	102,910)	101,0	101,7	99,6
Общая численность безработных (в возрасте 15-72 лет), млн.человек	3,911)	91,7	97,4	92,7	100,3	95,2	102,1
Численность официально зарегистрированных безработных, млн.человек	0,8	83,5	95,8	85,5	100,5	95,6	105,6
"1) Данные за I квартал 2017г. (первая оценка). 2) I квартал 2017г. в % к I кварталу 2016 года. 3) I квартал 2016г. в % к I кварталу 2015 года. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"". 5) Данные за апрель 2017 года. 6) Апрель 2017г. и апрель 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Апрель 2017г. и апрель 2016г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-апрель 2017г. и январь-апрель 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I квартал 2017 года. 10) Оценка. 11) Предварительные данные."							
