I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Июнь 2017г.	В % к	I полу- годие 2017г. в % к I полу- годию 2016г.	Справочно			
		июню 2016г.	маю 2017г.		июнь 2016г. в % к	I полу- годие 2016г. в % к I полу- годию 2015г.	
					июню 2015г.	маю 2016г.	
Валовой внутренний продукт, млрд.рублей	20090,91)	100,52)			99,63)		
Индекс промышленного производства4)		103,5	101,7	102,0	102,0	103,8	101,3
Продукция сельского хозяйства, млрд.рублей	329,9	98,7	99,6	100,2	102,9	101,2	103,4
Грузооборот транспорта, млрд.т-км	441,6	108,8	96,6	107,3	101,7	97,2	101,2
в том числе железнодорожного транспорта	202,6	107,2	96,6	107,4	102,2	96,5	101,6
Оборот розничной торговли, млрд.рублей	2417,0	101,2	101,1	99,5	95,0	100,7	95,1
Объем платных услуг населению, млрд.рублей	717,2	99,0	99,3	100,0	98,6	101,5	99,2
Внешнеторговый оборот, млрд.долларов США	47,85)	131,06)	108,27)	129,38)	79,56)	99,07)	75,58)
в том числе: экспорт товаров	28,2	127,8	108,0	131,0	71,9	101,3	68,8
импорт товаров	19,7	135,9	108,6	126,7	94,6	95,6	88,9
Инвестиции в основной капитал, млрд.рублей	2202,29)	102,32)			98,83)		
Индекс потребительских цен		104,4	100,6	104,4	107,5	100,4	107,8
Индекс цен производителей промышленных товаров4)		102,9	99,7	109,1	105,6	102,6	104,3
Реальные располагаемые денежные доходы10)		100,0	110,3	98,6	95,5	110,1	95,2
Среднемесячная начисленная заработная плата работников организаций:							
номинальная, рублей	4164010)	107,410)	103,510)	107,210)	108,7	103,1	107,8
реальная		102,910)	102,910)	102,710)	101,1	102,7	100,0
Общая численность безработных (в возрасте 15-72 лет), млн.человек	3,811)	92,1	97,5	92,6	102,1	97,1	102,1
Численность официально зарегистрированных безработных, млн.человек	0,8	84,3	96,8	85,3	99,4	95,9	104,6
"1) Данные за I квартал 2017г. (первая оценка). 2) I квартал 2017г. в % к I кварталу 2016 года. 3) I квартал 2016г. в % к I кварталу 2015 года. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"". 5) Данные за май 2017 года. 6) Май 2017г. и май 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Май 2017г. и май 2016г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-май 2017г. и январь-май 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I квартал 2017 года. 10) Оценка. 11) Предварительные данные."							
