I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Июль 2017г.	В % к	Январь- июль 2017г. в % к январю- июлю 2016г.	Справочно			
		июлю 2016г.	июню 2017г.		июль 2016г. в % к	январь- июль 2016г. в % к январю- июлю 2015г.	
					июлю 2015г.	июню 2016г.	
Валовой внутренний продукт		101,51),2)			99,53)		
Индекс промышленного производства4)		101,1	97,5	101,9	101,4	99,9	101,3
Продукция сельского хозяйства, млрд.рублей	501,3	97,1	182,9	99,3	107,4	185,9	104,4
Грузооборот транспорта, млрд.т-км	452,2	106,2	102,3	107,2	101,4	105,0	101,3
в том числе железнодорожного транспорта	208,1	105,1	102,5	107,1	100,7	104,7	101,4
Оборот розничной торговли, млрд.рублей	2505,0	101,0	103,8	99,8	95,7	104,0	95,2
Объем платных услуг населению, млрд.рублей	731,9	99,2	99,1	100,1	98,9	100,5	99,2
Внешнеторговый оборот, млрд.долларов США	50,35)	125,76)	105,37)	128,78)	86,56)	109,77)	77,48)
в том числе: экспорт товаров	29,5	122,8	104,8	129,5	79,9	109,0	70,6
импорт товаров	20,8	130,2	106,0	127,4	98,7	110,7	90,6
Инвестиции в основной капитал, млрд.рублей	5723,79)	104,82)			98,63)		
Индекс потребительских цен		103,9	100,1	104,3	107,2	100,5	107,8
Индекс цен производителей промышленных товаров4)		101,8	99,5	108,0	104,7	100,6	104,3
Реальные располагаемые денежные доходы10)		99,1	96,9	98,6	91,8	97,8	94,7
Среднемесячная начисленная заработная плата работников организаций:							
номинальная, рублей	3935510)	108,610)	93,510)	107,510)	105,8	93,3	107,5
реальная		104,610)	93,410)	103,010)	98,7	92,8	99,8
Общая численность безработных (в возрасте 15-72 лет), млн.человек	3,911)	94,7	101,5	92,9	101,4	98,8	102,0
Численность официально зарегистрированных безработных (по данным Роструда), млн.человек	0,8	84,4	97,7	85,2	96,9	97,6	103,5
"1) Предварительная оценка. 2) I полугодие 2017г. в % к I полугодию 2016 года. 3) I полугодие 2016г. в % к I полугодию 2015 года. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"" ОКВЭД2. 5) Данные за июнь 2017 года. 6) Июнь 2017г. и июнь 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Июнь 2017г. и июнь 2016г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) I полугодие 2017г. и I полугодие 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I полугодие 2017 года. 10) Оценка. 11) Предварительные данные."							
