I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Сентябрь 2017г.	В % к	Январь- сентябрь 2017г. в % к январю- сентябрю 2016г.	Справочно			
		сентябрю 2016г.	августу 2017г.		сентябрь 2016г. в % к	январь- сентябрь 2016г. в % к январю- сентябрю 2015г.	
					сентябрю 2015г.	августу 2016г.	
Валовой внутренний продукт, млрд.рублей	41782,11)	101,52)			99,53)		
Индекс промышленного производства4)		100,9	101,0	101,8	100,1	101,7	101,2
Продукция сельского хозяйства, млрд.рублей	1236,0	108,5	171,4	103,8	104,7	166,1	104,7
Грузооборот транспорта, млрд.т-км	452,3	102,9	98,4	106,8	104,1	103,2	101,8
в том числе железнодорожного транспорта	203,5	104,2	97,4	106,6	101,4	98,3	101,5
Оборот розничной торговли, млрд.рублей	2570,0	103,1	99,3	100,5	96,9	98,1	95,5
Объем платных услуг населению, млрд.рублей	750,2	100,4	99,5	100,2	99,4	98,4	99,5
Внешнеторговый оборот, млрд.долларов США	51,35)	123,46)	112,87)	126,48)	100,86)	107,67)	81,38)
в том числе: экспорт товаров	29,0	125,3	117,1	126,4	92,3	102,9	74,3
импорт товаров	22,4	121,0	107,6	126,4	113,8	114,0	94,5
Инвестиции в основной капитал, млрд.рублей	5723,79)	104,82)			98,63)		
Индекс потребительских цен		103,0	99,9	104,1	106,4	100,2	107,5
Индекс цен производителей промышленных товаров4)		106,8	102,4	107,5	104,4	100,4	104,2
Реальные располагаемые денежные доходы10)		99,7	100,4	98,8	97,3	100,5	94,4
Среднемесячная начисленная заработная плата работников организаций:							
номинальная, рублей	3752010)	105,610)	101,010)	106,710)	108,5	101,2	107,9
реальная		102,610)	101,210)	102,510)	101,9	101,0	100,4
Общая численность безработных (в возрасте 15-72 лет), млн.человек	3,811)	95,0	100,6	93,2	99,6	99,5	101,4
Численность официально зарегистрированных безработных (по данным Роструда), млн.человек	0,7	84,9	94,7	85,2	93,8	94,8	101,5
"1) Данные за I полугодие 2017г. (первая оценка). 2) I полугодие 2017г. в % к I полугодию 2016 года. 3) I полугодие 2016г. в % к I полугодию 2015 года. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"" ОКВЭД2. 5) Данные за август 2017 года. 6) Август 2017г. и август 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Август 2017г. и август 2016г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-август 2017г. и январь-август 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I полугодие 2017 года. 10) Оценка. 11) Предварительные данные."							
